2025-11-18 00:35:30 | INFO | ================================================================================
2025-11-18 00:35:30 | INFO | 🚀 STARTING 100M PARAMETER TRAINING
2025-11-18 00:35:30 | INFO | ================================================================================
2025-11-18 00:35:30 | INFO | Device: cuda:0
2025-11-18 00:35:30 | INFO | Distributed: Rank 0/1
2025-11-18 00:35:30 | INFO | Loaded config from /project/code/configs/moe/small_moe.yaml
2025-11-18 00:35:30 | INFO | 
📊 Training Config:
2025-11-18 00:35:30 | INFO |    Epochs: 3
2025-11-18 00:35:30 | INFO |    Batch size: 4
2025-11-18 00:35:30 | INFO |    Learning rate: 2.00e-03
2025-11-18 00:35:30 | INFO |    Gradient accumulation: 80
2025-11-18 00:35:30 | INFO | 
🤖 Creating model...
2025-11-18 00:35:31 | INFO |    Parameters: 325,731,832 (325.7M)
2025-11-18 00:35:31 | INFO | 
⚡ Setting up optimizer and scheduler...
2025-11-18 00:35:32 | INFO | 
📊 Creating dataloaders...
2025-11-18 00:35:32 | INFO | 
================================================================================
2025-11-18 00:35:32 | INFO | 🏋️  STARTING TRAINING
2025-11-18 00:35:32 | INFO | ================================================================================
2025-11-18 00:35:32 | INFO | Epoch 1 | Batch 0/2500 | Loss: 11.0076 | Avg Loss: 11.0076 | LR: 2.00e-04
2025-11-18 00:35:33 | INFO | Epoch 1 | Batch 10/2500 | Loss: 11.0091 | Avg Loss: 11.0139 | LR: 2.00e-04
2025-11-18 00:35:33 | INFO | Epoch 1 | Batch 20/2500 | Loss: 11.0151 | Avg Loss: 11.0043 | LR: 2.00e-04
2025-11-18 00:35:33 | INFO | Epoch 1 | Batch 30/2500 | Loss: 10.9857 | Avg Loss: 11.0054 | LR: 2.00e-04
2025-11-18 00:35:34 | INFO | Epoch 1 | Batch 40/2500 | Loss: 11.0239 | Avg Loss: 11.0045 | LR: 2.00e-04
2025-11-18 00:35:34 | INFO | Epoch 1 | Batch 50/2500 | Loss: 11.0147 | Avg Loss: 11.0033 | LR: 2.00e-04
2025-11-18 00:35:35 | INFO | Epoch 1 | Batch 60/2500 | Loss: 10.9574 | Avg Loss: 11.0026 | LR: 2.00e-04
2025-11-18 00:35:35 | INFO | Epoch 1 | Batch 70/2500 | Loss: 10.9609 | Avg Loss: 11.0024 | LR: 2.00e-04
2025-11-18 00:35:35 | INFO | Epoch 1 | Batch 80/2500 | Loss: 11.0325 | Avg Loss: 11.0008 | LR: 2.02e-04
2025-11-18 00:35:36 | INFO | Epoch 1 | Batch 90/2500 | Loss: 11.0455 | Avg Loss: 11.0019 | LR: 2.02e-04
2025-11-18 00:35:36 | INFO | Epoch 1 | Batch 100/2500 | Loss: 11.0007 | Avg Loss: 11.0024 | LR: 2.02e-04
2025-11-18 00:35:37 | INFO | Epoch 1 | Batch 110/2500 | Loss: 10.9960 | Avg Loss: 11.0025 | LR: 2.02e-04
2025-11-18 00:35:37 | INFO | Epoch 1 | Batch 120/2500 | Loss: 10.9644 | Avg Loss: 11.0018 | LR: 2.02e-04
2025-11-18 00:35:37 | INFO | Epoch 1 | Batch 130/2500 | Loss: 11.0207 | Avg Loss: 11.0017 | LR: 2.02e-04
2025-11-18 00:35:38 | INFO | Epoch 1 | Batch 140/2500 | Loss: 11.0054 | Avg Loss: 11.0025 | LR: 2.02e-04
2025-11-18 00:35:38 | INFO | Epoch 1 | Batch 150/2500 | Loss: 11.0006 | Avg Loss: 11.0025 | LR: 2.02e-04
2025-11-18 00:35:39 | INFO | Epoch 1 | Batch 160/2500 | Loss: 10.9852 | Avg Loss: 11.0020 | LR: 2.04e-04
2025-11-18 00:35:39 | INFO | Epoch 1 | Batch 170/2500 | Loss: 10.9717 | Avg Loss: 11.0016 | LR: 2.04e-04
2025-11-18 00:35:40 | INFO | Epoch 1 | Batch 180/2500 | Loss: 11.0200 | Avg Loss: 11.0014 | LR: 2.04e-04
2025-11-18 00:35:40 | INFO | Epoch 1 | Batch 190/2500 | Loss: 10.9732 | Avg Loss: 11.0005 | LR: 2.04e-04
2025-11-18 00:35:40 | INFO | Epoch 1 | Batch 200/2500 | Loss: 10.9418 | Avg Loss: 11.0002 | LR: 2.04e-04
2025-11-18 00:35:41 | INFO | Epoch 1 | Batch 210/2500 | Loss: 11.0154 | Avg Loss: 11.0003 | LR: 2.04e-04
2025-11-18 00:35:41 | INFO | Epoch 1 | Batch 220/2500 | Loss: 11.0104 | Avg Loss: 11.0002 | LR: 2.04e-04
2025-11-18 00:35:42 | INFO | Epoch 1 | Batch 230/2500 | Loss: 10.9884 | Avg Loss: 11.0002 | LR: 2.04e-04
2025-11-18 00:35:42 | INFO | Epoch 1 | Batch 240/2500 | Loss: 10.9681 | Avg Loss: 10.9998 | LR: 2.05e-04
2025-11-18 00:35:42 | INFO | Epoch 1 | Batch 250/2500 | Loss: 10.9734 | Avg Loss: 10.9994 | LR: 2.05e-04
2025-11-18 00:35:43 | INFO | Epoch 1 | Batch 260/2500 | Loss: 10.9940 | Avg Loss: 10.9988 | LR: 2.05e-04
2025-11-18 00:35:43 | INFO | Epoch 1 | Batch 270/2500 | Loss: 10.9602 | Avg Loss: 10.9981 | LR: 2.05e-04
2025-11-18 00:35:44 | INFO | Epoch 1 | Batch 280/2500 | Loss: 10.9951 | Avg Loss: 10.9978 | LR: 2.05e-04
2025-11-18 00:35:44 | INFO | Epoch 1 | Batch 290/2500 | Loss: 10.9918 | Avg Loss: 10.9970 | LR: 2.05e-04
